Produto,Área_negócio,Subdivisão,Data_venda,Valor_vendas,Quantidade,Gama,Gama_2,Interface,Descrição,Descrição_detalhada,Subdivisão_agrupada,No_mês,Nome_mês,No_ano,Ciclos,Produto e Descrição Detalhada
6872032,Pediatria,CLINTR,15-05-2021,"893,65",139,Gama4,Jennifer,pPT,Desc6,DescDet6,CLIN,5,Maio,2021,2º (MAI-AGO),6872032 - DescDet6
6022768,Ortopedia,CLINTAL,20-12-2023,"549,83",98,Gama4,Charlize,XgI,Desc9,DescDet6,CLIN,12,Dezembro,2023,3º (SET-DEZ),6022768 - DescDet6
8687593,Cardiologia,CASARE,15-05-2019,"405,1",167,Gama5,Angelina,SdP,Desc3,DescDet4,CASA,5,Maio,2019,2º (MAI-AGO),8687593 - DescDet4
6319300,Cardiologia,CASARE,22-08-2021,"329,22",128,Gama3,Keira,KRt,Desc8,DescDet1,CASA,8,Agosto,2021,2º (MAI-AGO),6319300 - DescDet1
4225258,Ginecologia,CASAJAR,15-12-2019,"492,7",128,Gama6,Scarlett,Gec,Desc7,DescDet11,CASA,12,Dezembro,2019,3º (SET-DEZ),4225258 - DescDet11
2983639,Cardiologia,CASAJAR,22-12-2021,"169,28",192,Gama8,Kate,sSL,Desc8,DescDet6,CASA,12,Dezembro,2021,3º (SET-DEZ),2983639 - DescDet6
6740395,Ginecologia,CASAJAR,13-06-2023,"734,02",40,Gama1,Scarlett,Gqr,Desc5,DescDet4,CASA,6,Junho,2023,2º (MAI-AGO),6740395 - DescDet4
0402501,Ginecologia,CASAJAR,25-11-2021,"124,86",49,Gama1,Keira,nTY,Desc5,DescDet1,CASA,11,Novembro,2021,3º (SET-DEZ),0402501 - DescDet1
2202126,Outros,CASARE,23-05-2023,"848,06",51,Gama8,Meryl,MCl,Desc9,DescDet8,CASA,5,Maio,2023,2º (MAI-AGO),2202126 - DescDet8
6022768,Ortopedia,CLINTAL,13-02-2021,"574,27",150,Gama4,Charlize,kXz,Desc9,DescDet6,CLIN,2,Fevereiro,2021,1º (JAN-ABR),6022768 - DescDet6
6319300,Cardiologia,CASARE,11-12-2021,"232,45",164,Gama3,Keira,llH,Desc8,DescDet1,CASA,12,Dezembro,2021,3º (SET-DEZ),6319300 - DescDet1
3322966,Pediatria,CLINTAL,14-05-2021,"262,83",65,Gama3,Scarlett,mFp,Desc2,DescDet3,CLIN,5,Maio,2021,2º (MAI-AGO),3322966 - DescDet3
6022768,Ortopedia,CLINTAL,08-02-2018,"289,05",77,Gama4,Charlize,wmA,Desc9,DescDet6,CLIN,2,Fevereiro,2018,1º (JAN-ABR),6022768 - DescDet6
6525808,Outros,CLINTA,29-11-2022,"462,2",102,Gama2,Julia,YaA,Desc1,DescDet5,CLIN,11,Novembro,2022,3º (SET-DEZ),6525808 - DescDet5
6872032,Pediatria,CLINTR,16-09-2019,"853,56",34,Gama4,Jennifer,YjN,Desc6,DescDet6,CLIN,9,Setembro,2019,3º (SET-DEZ),6872032 - DescDet6
1713965,Pediatria,CLINTOPS,07-01-2018,"509,9",103,Gama6,Julia,WFB,Desc11,DescDet6,CLIN,1,Janeiro,2018,1º (JAN-ABR),1713965 - DescDet6
6319300,Cardiologia,CASARE,26-01-2020,"285,62",174,Gama3,Keira,lVL,Desc8,DescDet1,CASA,1,Janeiro,2020,1º (JAN-ABR),6319300 - DescDet1
1713965,Pediatria,CLINTOPS,11-06-2020,"153,67",173,Gama6,Julia,YgB,Desc11,DescDet6,CLIN,6,Junho,2020,2º (MAI-AGO),1713965 - DescDet6
3295001,Ortopedia,CLINTAL,24-12-2021,"258,46",140,Gama8,Emma,CfM,Desc2,DescDet3,CLIN,12,Dezembro,2021,3º (SET-DEZ),3295001 - DescDet3
6022768,Ortopedia,CLINTAL,21-11-2023,"949,32",147,Gama4,Charlize,iXQ,Desc9,DescDet6,CLIN,11,Novembro,2023,3º (SET-DEZ),6022768 - DescDet6
3295001,Ortopedia,CLINTAL,31-05-2023,"232,5",122,Gama8,Emma,xKg,Desc2,DescDet3,CLIN,5,Maio,2023,2º (MAI-AGO),3295001 - DescDet3
2983639,Cardiologia,CASAJAR,25-05-2021,"192,96",75,Gama8,Kate,xZX,Desc8,DescDet6,CASA,5,Maio,2021,2º (MAI-AGO),2983639 - DescDet6
5868570,Ortopedia,CASAMED,09-08-2020,"785,42",162,Gama9,Sandra,tba,Desc6,DescDet9,CASA,8,Agosto,2020,2º (MAI-AGO),5868570 - DescDet9
6525808,Outros,CLINTA,07-03-2018,"852,32",100,Gama2,Julia,jHK,Desc1,DescDet5,CLIN,3,Março,2018,1º (JAN-ABR),6525808 - DescDet5
9807652,Ginecologia,CLINTA,29-10-2022,"847,12",13,Gama7,Jennifer,sfy,Desc8,DescDet9,CLIN,10,Outubro,2022,3º (SET-DEZ),9807652 - DescDet9
5868570,Ortopedia,CASAMED,14-09-2022,"686,12",133,Gama9,Sandra,Tji,Desc6,DescDet9,CASA,9,Setembro,2022,3º (SET-DEZ),5868570 - DescDet9
0402501,Ginecologia,CASAJAR,09-06-2020,"541,09",78,Gama1,Keira,eSr,Desc5,DescDet1,CASA,6,Junho,2020,2º (MAI-AGO),0402501 - DescDet1
